message,severity,attributes,tags,timestamp
Running 001_init.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111142571Z
Done 001_init.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111146851Z
Running 002_ingest_tasks.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111150481Z
Done 002_ingest_tasks.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111155181Z
Running 003_integration_config.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111159371Z
Running 004_storage_and_vectors.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111166551Z
Done 004_storage_and_vectors.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111169781Z
Running 005_ip_profile_fields.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111174151Z
Done 005_ip_profile_fields.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111178651Z
Done 006_integration_bindings.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111188931Z
Running 007_ingest_heartbeat.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111193071Z
Done 007_ingest_heartbeat.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111198071Z
Running 008_pgvector.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111201871Z
Done 008_pgvector.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111205211Z
Running 009_style_profile.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""7a53216f-28d8-4843-a68b-3f0d2ef43b4f"",""replica"":""e65d392b-cfc4-4065-a64c-94eae12e6fe9""}",2026-03-28T04:10:01.111208361Z
