message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.613943169Z
                           ^,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719265738Z
,error,"{""level"":""error""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719282781Z
Running 001_init.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719433030Z
Done 001_init.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719435699Z
Running 002_ingest_tasks.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719438534Z
Done 002_ingest_tasks.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719441564Z
Running 003_integration_config.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719444210Z
Done 003_integration_config.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719446668Z
Running 004_storage_and_vectors.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""5dfa7f4b-d714-4400-8b33-d09fddba09db"",""replica"":""018df845-4190-492c-aeeb-2484c0956128""}",2026-03-28T03:58:11.719449324Z
