message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:22.428629181Z
Running 007_ingest_heartbeat.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162190597Z
Done 012_link_mantou_ip_owner.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162194167Z
Done 007_ingest_heartbeat.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162197756Z
Running 013_set_xiaomin_nickname.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162204828Z
Running 009_style_profile.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162211768Z
Done 013_set_xiaomin_nickname.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162212788Z
Running 001_init.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162216288Z
Done 001_init.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162221825Z
Running 002_ingest_tasks.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""43dcc110-0672-452e-9a0a-fb173fe8f59a"",""replica"":""4c817e45-0c70-4f6e-85e5-0e55c8d31c52""}",2026-03-28T04:05:23.162227600Z
