message,severity,attributes,tags,timestamp
Running 001_init.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116439028Z
Done 001_init.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116443307Z
Running 002_ingest_tasks.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116448148Z
Done 002_ingest_tasks.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116453858Z
Running 003_integration_config.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116459448Z
Done 003_integration_config.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116463332Z
Running 004_storage_and_vectors.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116466245Z
Done 004_storage_and_vectors.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116469184Z
Running 005_ip_profile_fields.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116472052Z
Done 005_ip_profile_fields.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""62902f5f-f45a-437c-974d-ac7473a80496"",""replica"":""e45f2b60-8725-44e3-ac30-b9f000f8839b""}",2026-03-27T03:13:25.116474904Z
