message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.509163168Z
Running 004_storage_and_vectors.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571759264Z
Done 004_storage_and_vectors.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571767082Z
Done 007_ingest_heartbeat.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571768605Z
Done 009_style_profile.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571770243Z
Running 005_ip_profile_fields.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571775234Z
Running 008_pgvector.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571780778Z
Running 013_set_xiaomin_nickname.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571781758Z
Running 010_strategy_agent.sql...,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571783027Z
Done 008_pgvector.sql,info,"{""level"":""info""}","{""project"":""978a3735-d57c-4501-988c-809107b9712f"",""environment"":""8ac1df90-738e-426c-a644-4b86a87bd5ec"",""service"":""996e74d0-b507-45ca-a8f8-537fad5c511d"",""deployment"":""df1a3ff0-994e-42b9-ae40-6753ac4b342c"",""replica"":""a3e39a7d-35b7-4742-b61a-c585cae72597""}",2026-03-28T04:16:41.571790247Z
